config,seed,point_f1_100ms,iou01_f1,iou025_f1,iou03_f1
feature_all,1,0.6647831942715843,0.6668129342715843,0.6659314881027614,0.6654821906357441
feature_all,2,0.6552148065369172,0.6574312059184631,0.6565273908441058,0.6568427085529376
feature_all,3,0.6450019991914985,0.6467558598099526,0.6455411210531328,0.6456751008113183
feature_boundary_only,1,0.6594382719061527,0.6625918371642084,0.6617042935184762,0.6612187749365083
feature_boundary_only,2,0.6537165284489013,0.6569341257836127,0.6553816247093158,0.6557731801268941
feature_boundary_only,3,0.645845199644946,0.6484740370521789,0.647914081772208,0.6480080449365976
feature_meldiff_only,1,0.6602478354196821,0.6638129460274518,0.6627053145926839,0.6622815374189054
feature_meldiff_only,2,0.6518642197635047,0.6545931827168403,0.6534179281037642,0.6538062719541827
feature_meldiff_only,3,0.6408879448168132,0.6435938712557079,0.6428767573035519,0.6429121906269119
feature_flux_only,1,0.6589132746018452,0.6619043852176438,0.6608327419051734,0.6603958172465921
feature_flux_only,2,0.6524861193842077,0.6555271038462815,0.6543185962740157,0.6546923417083648
feature_flux_only,3,0.6446006060139471,0.6475685109360747,0.6468486618208109,0.6469118410450431
